fueltype,doornumber,carbody,drivewheel,enginesize,horsepower,citympg,highwaympg,price
gas,two,convertible,rwd,130,111,21,27,13495
gas,two,convertible,rwd,130,111,21,27,16500
gas,two,hatchback,rwd,152,154,19,26,16500
gas,four,sedan,fwd,109,102,24,30,13950
gas,four,sedan,4wd,136,115,18,22,17450
gas,two,sedan,fwd,136,110,19,25,15250
gas,four,sedan,fwd,136,110,19,25,17710
gas,four,wagon,fwd,136,110,19,25,18920
gas,four,sedan,fwd,131,140,17,20,23875
gas,two,hatchback,4wd,131,160,16,22,17859.167
gas,two,sedan,rwd,108,101,23,29,16430
gas,four,sedan,rwd,108,101,23,29,16925
gas,two,sedan,rwd,164,121,21,28,20970
gas,four,sedan,rwd,164,121,21,28,21105
gas,four,sedan,rwd,164,121,20,25,24565
gas,four,sedan,rwd,209,182,16,22,30760
gas,two,sedan,rwd,209,182,16,22,41315
gas,four,sedan,rwd,209,182,15,20,36880
gas,two,hatchback,fwd,61,48,47,53,5151
gas,two,hatchback,fwd,90,70,38,43,6295
gas,four,sedan,fwd,90,70,38,43,6575
gas,two,hatchback,fwd,90,68,37,41,5572
gas,two,hatchback,fwd,90,68,31,38,6377
gas,two,hatchback,fwd,98,102,24,30,7957
gas,four,hatchback,fwd,90,68,31,38,6229
gas,four,sedan,fwd,90,68,31,38,6692
gas,four,sedan,fwd,90,68,31,38,7609
gas,two,sedan,fwd,98,102,24,30,8558
gas,four,wagon,fwd,122,88,24,30,8921
gas,two,hatchback,fwd,156,145,19,24,12964
gas,two,hatchback,fwd,92,58,49,54,6479
gas,two,hatchback,fwd,92,76,31,38,6855
gas,two,hatchback,fwd,79,60,38,42,5399
gas,two,hatchback,fwd,92,76,30,34,6529
gas,two,hatchback,fwd,92,76,30,34,7129
gas,four,sedan,fwd,92,76,30,34,7295
gas,four,wagon,fwd,92,76,30,34,7295
gas,two,hatchback,fwd,110,86,27,33,7895
gas,two,hatchback,fwd,110,86,27,33,9095
gas,four,sedan,fwd,110,86,27,33,8845
gas,four,sedan,fwd,110,86,27,33,10295
gas,four,sedan,fwd,110,101,24,28,12945
gas,two,sedan,fwd,110,100,25,31,10345
gas,four,sedan,rwd,111,78,24,29,6785
gas,two,sedan,fwd,90,70,38,43,8916.5
gas,four,sedan,fwd,90,70,38,43,8916.5
gas,two,hatchback,rwd,119,90,24,29,11048
gas,four,sedan,rwd,258,176,15,19,32250
gas,four,sedan,rwd,258,176,15,19,35550
gas,two,sedan,rwd,326,262,13,17,36000
gas,two,hatchback,fwd,91,68,30,31,5195
gas,two,hatchback,fwd,91,68,31,38,6095
gas,two,hatchback,fwd,91,68,31,38,6795
gas,four,sedan,fwd,91,68,31,38,6695
gas,four,sedan,fwd,91,68,31,38,7395
gas,two,hatchback,rwd,70,101,17,23,10945
gas,two,hatchback,rwd,70,101,17,23,11845
gas,two,hatchback,rwd,70,101,17,23,13645
gas,two,hatchback,rwd,80,135,16,23,15645
gas,two,hatchback,fwd,122,84,26,32,8845
gas,four,sedan,fwd,122,84,26,32,8495
gas,two,hatchback,fwd,122,84,26,32,10595
gas,four,sedan,fwd,122,84,26,32,10245
diesel,four,sedan,fwd,122,64,36,42,10795
gas,four,hatchback,fwd,122,84,26,32,11245
gas,four,sedan,rwd,140,120,19,27,18280
diesel,four,sedan,rwd,134,72,31,39,18344
